[Dev, 17-Aug-2015 02:37:45]: kek
[Dev, 17-Aug-2015 03:00:49]: :;god
[Dev, 17-Aug-2015 03:14:19]: test
[Dev, 17-Aug-2015 16:01:49]: fuk
[Dev, 17-Aug-2015 16:18:24]: nigga
[Dev, 18-Aug-2015 23:56:00]: w5trhe56h
[Dev, 18-Aug-2015 23:56:01]: 5hje5r6h56ehe56
[Blibis, Jan 5, 2016 1:55:03 AM]: cheater
[Blibis, Jan 5, 2016 1:55:09 AM]: dev = luck
[Dev, Jan 5, 2016 1:55:11 AM]: :[]
[Dev, Jan 5, 2016 1:55:12 AM]: :[]
[Dev, Jan 5, 2016 1:55:13 AM]: :[]
[Dev, Jan 5, 2016 1:55:14 AM]: :[]
[Dev, Jan 5, 2016 1:55:56 AM]: rune kite g
[Dev, Jan 5, 2016 1:56:00 AM]: f
[Dev, Jan 5, 2016 1:56:00 AM]: f
[Blibis, Jan 5, 2016 1:56:04 AM]: GRATS
[Blibis, Jan 5, 2016 1:56:10 AM]: 10/10
[Dev, Jan 5, 2016 1:56:38 AM]: it is useful but
[Dev, Jan 5, 2016 1:56:41 AM]: xp rates are broke
[Dev, Jan 5, 2016 1:56:44 AM]: theyre way too small
[Dev, Jan 5, 2016 1:56:47 AM]: not worth
[Dev, Jan 5, 2016 1:56:48 AM]: save them 
[Dev, Jan 5, 2016 1:56:51 AM]: and ill fix tonight
[Dev, Jan 5, 2016 1:57:04 AM]: omg gmaul on floor
[Blibis, Jan 5, 2016 1:57:23 AM]: yes
[Blibis, Jan 5, 2016 1:57:35 AM]: have your 26K i don't need it
[Blibis, Jan 5, 2016 1:57:37 AM]: i am rich
[Blibis, Jan 5, 2016 1:57:38 AM]: fucker
[Blibis, Jan 5, 2016 1:57:41 AM]: HEH
[Dev, Jan 5, 2016 1:57:55 AM]: you do relaise how strong this is
[Dev, Jan 5, 2016 1:57:56 AM]: l0l
[Blibis, Jan 5, 2016 1:58:15 AM]: is it better than whip
[Blibis, Jan 5, 2016 1:58:16 AM]: fuk
[Dev, Jan 5, 2016 1:58:18 AM]: yes
[Dev, Jan 5, 2016 1:58:21 AM]: its for combos
[Dev, Jan 5, 2016 1:58:25 AM]: can hit 700+ total
[Dev, Jan 5, 2016 1:58:27 AM]: yes
[Dev, Jan 5, 2016 2:01:36 AM]: blyat
[Blibis, Jan 5, 2016 2:01:44 AM]: c
[Blibis, Jan 5, 2016 2:01:46 AM]: h
[Blibis, Jan 5, 2016 2:01:46 AM]: e
[Blibis, Jan 5, 2016 2:01:47 AM]: t
[Blibis, Jan 5, 2016 2:01:47 AM]: e
[Blibis, Jan 5, 2016 2:01:48 AM]: r
[Eyeizmoorey, Jan 5, 2016 2:02:03 AM]:  nice 
[Blibis, Jan 5, 2016 2:02:05 AM]: -
[Eyeizmoorey, Jan 5, 2016 2:02:06 AM]: speeling
[Blibis, Jan 5, 2016 2:02:06 AM]: c
[Blibis, Jan 5, 2016 2:02:07 AM]: h
[Blibis, Jan 5, 2016 2:02:07 AM]: e
[Blibis, Jan 5, 2016 2:02:07 AM]: e
[Blibis, Jan 5, 2016 2:02:08 AM]: t
[Blibis, Jan 5, 2016 2:02:08 AM]: r
[Dev, Jan 5, 2016 2:02:17 AM]: same
[Dev, Jan 5, 2016 2:02:20 AM]: c
[Eyeizmoorey, Jan 5, 2016 2:02:21 AM]: c
[Dev, Jan 5, 2016 2:02:21 AM]: e
[Eyeizmoorey, Jan 5, 2016 2:02:21 AM]: h
[Dev, Jan 5, 2016 2:02:22 AM]: t
[Eyeizmoorey, Jan 5, 2016 2:02:22 AM]: e
[Dev, Jan 5, 2016 2:02:22 AM]: e
[Eyeizmoorey, Jan 5, 2016 2:02:22 AM]: a
[Dev, Jan 5, 2016 2:02:22 AM]: r
[Eyeizmoorey, Jan 5, 2016 2:02:23 AM]: t
[Eyeizmoorey, Jan 5, 2016 2:02:24 AM]: e
[Eyeizmoorey, Jan 5, 2016 2:02:24 AM]: r
[Blibis, Jan 5, 2016 2:02:27 AM]: c
[Eyeizmoorey, Jan 5, 2016 2:02:27 AM]: c
[Blibis, Jan 5, 2016 2:02:27 AM]: e
[Blibis, Jan 5, 2016 2:02:28 AM]: t
[Blibis, Jan 5, 2016 2:02:28 AM]: r
[Eyeizmoorey, Jan 5, 2016 2:02:30 AM]: c
[Dev, Jan 5, 2016 2:02:30 AM]: c
[Eyeizmoorey, Jan 5, 2016 2:02:30 AM]: h
[Eyeizmoorey, Jan 5, 2016 2:02:31 AM]: e
[Dev, Jan 5, 2016 2:02:31 AM]: e
[Dev, Jan 5, 2016 2:02:31 AM]: a
[Dev, Jan 5, 2016 2:02:32 AM]: t
[Dev, Jan 5, 2016 2:02:32 AM]: e
[Eyeizmoorey, Jan 5, 2016 2:02:32 AM]: a
[Dev, Jan 5, 2016 2:02:32 AM]: r
[Eyeizmoorey, Jan 5, 2016 2:02:33 AM]: t
[Eyeizmoorey, Jan 5, 2016 2:02:33 AM]: er
[Dev, Jan 5, 2016 2:02:34 AM]: fk
[Dev, Jan 5, 2016 2:02:35 AM]: c
[Dev, Jan 5, 2016 2:02:35 AM]: h
[Dev, Jan 5, 2016 2:02:35 AM]: e
[Eyeizmoorey, Jan 5, 2016 2:02:36 AM]: c#
[Dev, Jan 5, 2016 2:02:36 AM]: a
[Dev, Jan 5, 2016 2:02:36 AM]: t
[Dev, Jan 5, 2016 2:02:36 AM]: e
[Dev, Jan 5, 2016 2:02:37 AM]: r
[Eyeizmoorey, Jan 5, 2016 2:02:37 AM]: c
[Blibis, Jan 5, 2016 2:02:38 AM]: c
[Eyeizmoorey, Jan 5, 2016 2:02:38 AM]: e
[Blibis, Jan 5, 2016 2:02:38 AM]: e
[Blibis, Jan 5, 2016 2:02:39 AM]: t
[Eyeizmoorey, Jan 5, 2016 2:02:39 AM]: a
[Eyeizmoorey, Jan 5, 2016 2:02:39 AM]: t
[Blibis, Jan 5, 2016 2:02:39 AM]: r
[Eyeizmoorey, Jan 5, 2016 2:02:40 AM]: er
[Dev, Jan 5, 2016 2:02:40 AM]: :[)
[Eyeizmoorey, Jan 5, 2016 2:02:43 AM]: c
[Blibis, Jan 5, 2016 2:02:43 AM]: c
[Blibis, Jan 5, 2016 2:02:44 AM]: e
[Eyeizmoorey, Jan 5, 2016 2:02:44 AM]: e
[Eyeizmoorey, Jan 5, 2016 2:02:44 AM]: a
[Blibis, Jan 5, 2016 2:02:44 AM]: t
[Eyeizmoorey, Jan 5, 2016 2:02:45 AM]: t
[Blibis, Jan 5, 2016 2:02:45 AM]: r
[Dev, Jan 5, 2016 2:02:46 AM]: c
[Dev, Jan 5, 2016 2:02:46 AM]: e
[Eyeizmoorey, Jan 5, 2016 2:02:46 AM]: e
[Dev, Jan 5, 2016 2:02:46 AM]: a
[Dev, Jan 5, 2016 2:02:47 AM]: e
[Dev, Jan 5, 2016 2:02:48 AM]: f
[Eyeizmoorey, Jan 5, 2016 2:02:48 AM]: r
[Blibis, Jan 5, 2016 2:02:53 AM]: chef
[Dev, Jan 5, 2016 2:02:53 AM]: 498
[Dev, Jan 5, 2016 2:02:54 AM]: oh shittt
[Eyeizmoorey, Jan 5, 2016 2:02:57 AM]: ceaf
[Eyeizmoorey, Jan 5, 2016 2:03:02 AM]: c
[Eyeizmoorey, Jan 5, 2016 2:03:06 AM]: c
[Eyeizmoorey, Jan 5, 2016 2:03:07 AM]: c
[Eyeizmoorey, Jan 5, 2016 2:03:08 AM]: h
[Eyeizmoorey, Jan 5, 2016 2:03:08 AM]: e
[Eyeizmoorey, Jan 5, 2016 2:03:09 AM]: a
[Eyeizmoorey, Jan 5, 2016 2:03:10 AM]: t
[Eyeizmoorey, Jan 5, 2016 2:03:10 AM]: e
[Eyeizmoorey, Jan 5, 2016 2:03:13 AM]: r
[Dev, Jan 5, 2016 2:03:14 AM]: :[)
[Dev, Jan 5, 2016 2:03:22 AM]: free tele
[Dev, Jan 5, 2016 2:03:25 AM]: :[)
[Dev, Jan 5, 2016 2:04:03 AM]: m'lady
[Dev, Jan 5, 2016 2:04:05 AM]: tip
[Dev, Jan 5, 2016 2:04:06 AM]: tip
[Dev, Jan 5, 2016 2:04:06 AM]: tip
[Dev, Jan 5, 2016 2:04:06 AM]: tip
[Dev, Jan 5, 2016 2:04:07 AM]: tip
[Dev, Jan 5, 2016 2:04:07 AM]: t
[Dev, Jan 5, 2016 2:04:08 AM]: iptip
[Blibis, Jan 5, 2016 2:04:17 AM]: g
[Dev, Jan 5, 2016 2:04:20 AM]: granite maul
[Blibis, Jan 5, 2016 2:04:23 AM]: no
[Dev, Jan 5, 2016 2:04:28 AM]: f
[Dev, Jan 5, 2016 2:04:41 AM]: guthix
[Dev, Jan 5, 2016 2:04:42 AM]: platelegs
[Dev, Jan 5, 2016 2:04:48 AM]: platebodeh
[Dev, Jan 5, 2016 2:04:53 AM]: helmet
[Dev, Jan 5, 2016 2:04:55 AM]: woh
[Dev, Jan 5, 2016 2:04:56 AM]: oh
[Dev, Jan 5, 2016 2:04:59 AM]: mjolnir
[Dev, Jan 5, 2016 2:05:10 AM]: spin2win
[Dev, Jan 5, 2016 2:07:10 AM]: we should probably higher them
[Dev, Jan 5, 2016 2:07:18 AM]: i know you can by the tool in the source blib
[Dev, Jan 5, 2016 2:07:59 AM]: o
[Dev, Jan 5, 2016 2:08:01 AM]: i need to make
[Dev, Jan 5, 2016 2:08:03 AM]: leaderboard
[Dev, Jan 5, 2016 2:08:22 AM]: reading skype logs
[Snow, Jan 5, 2016 2:11:31 AM]: yes
[Snow, Jan 5, 2016 2:11:34 AM]: i have gtomega
[Snow, Jan 5, 2016 2:11:37 AM]: I fell backwards
[Snow, Jan 5, 2016 2:11:52 AM]: blib
[Snow, Jan 5, 2016 2:11:56 AM]: kg34we0igk34ew
[Snow, Jan 5, 2016 2:11:56 AM]: fkiw3o0qafkm3q4aio
[Snow, Jan 5, 2016 2:11:57 AM]: fkm,oi0p3awfkm,qiowp03k,3w
[Snow, Jan 5, 2016 2:11:58 AM]: fk,o0pe3gkm,io0pwse3gkm,
[Eyeizmoorey, Jan 5, 2016 2:11:58 AM]: lol
[Snow, Jan 5, 2016 2:11:59 AM]: gspoei0rgm,spoeikldm,plk
[Snow, Jan 5, 2016 2:12:00 AM]: K<EIFW|QAO0km,32iokf3
[Snow, Jan 5, 2016 2:12:02 AM]: \gkme3iog4k3emw,
[Snow, Jan 5, 2016 2:12:03 AM]: gsegoijmk4oi4gemj
[Snow, Jan 5, 2016 2:12:05 AM]: s4g4kgo0skg0ogko0pgk
[Snow, Jan 5, 2016 2:12:07 AM]: khmk,45iohwksm,54o4o
[Snow, Jan 5, 2016 2:25:47 AM]: its fr ::home
[Snow, Jan 5, 2016 2:25:49 AM]:  ::home
[Snow, Jan 5, 2016 2:26:42 AM]: whats the item
[Snow, Jan 5, 2016 2:26:43 AM]: fkw3oi4jm34kewqiofm34e
[Snow, Jan 5, 2016 2:26:44 AM]: f34wkmqgi9o3ewgjmw3i9oegjmw3
[Snow, Jan 5, 2016 2:26:45 AM]: egpw3e,kmgoiw3e9gjmi40owgjm45ig
[Snow, Jan 5, 2016 2:26:46 AM]: pgk,wseg0iswjmegopmwsole4m
[Snow, Jan 5, 2016 2:26:47 AM]: ges,gio453ejmgiws4eokmeik4
[Snow, Jan 5, 2016 2:26:48 AM]: q23,fo0p3kfm,2ow3imf,32wr
[Snow, Jan 5, 2016 2:27:38 AM]: what
[Snow, Jan 5, 2016 2:27:42 AM]: task
[Snow, Jan 5, 2016 2:27:43 AM]: scroll
[Snow, Jan 5, 2016 2:27:44 AM]: tick
[Snow, Jan 5, 2016 2:31:49 AM]: aaaaaaaaaaaaaaaaaaaaa
[Eyeizmoorey, Jan 5, 2016 2:32:11 AM]: aaaaaaaa
[Snow, Jan 6, 2016 12:54:14 AM]:  ::home
